File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
EK_p_0.6_nVertices_450_maxValue_80.txt,EK,0.6,450,80,0.2175,0.210999,0.2305,0.172999,0.2005
Dinic_p_0.6_nVertices_450_maxValue_80.txt,Dinic,0.6,450,80,0.002,0.0055,0.008,0.002502,0.005
MPM_p_0.6_nVertices_450_maxValue_130.txt,MPM,0.6,450,130,0.0105,0.020501,0.025498,0.0115,0.012499
EK_p_0.6_nVertices_450_maxValue_130.txt,EK,0.6,450,130,0.195501,0.188501,0.190002,0.262,0.1385
Dinic_p_0.6_nVertices_450_maxValue_130.txt,Dinic,0.6,450,130,0.010501,0.004501,0.0065,0.006498,0.007
MPM_p_0.6_nVertices_450_maxValue_210.txt,MPM,0.6,450,210,0.016,0.0135,0.021999,0.021001,0.012
EK_p_0.6_nVertices_450_maxValue_210.txt,EK,0.6,450,210,0.158,0.1555,0.174999,0.196001,0.256
Dinic_p_0.6_nVertices_450_maxValue_210.txt,Dinic,0.6,450,210,0.007501,0.0025,0.014501,0.007,0.0025
MPM_p_0.6_nVertices_450_maxValue_340.txt,MPM,0.6,450,340,0.028999,0.022497,0.014,0.017501,0.020501
EK_p_0.6_nVertices_450_maxValue_340.txt,EK,0.6,450,340,0.233999,0.212,0.216501,0.1585,0.224
Dinic_p_0.6_nVertices_450_maxValue_340.txt,Dinic,0.6,450,340,0.0045,0.004002,0.0045,0.006001,0.006
MPM_p_0.6_nVertices_450_maxValue_500.txt,MPM,0.6,450,500,0.0175,0.0205,0.0255,0.018497,0.021
EK_p_0.6_nVertices_450_maxValue_500.txt,EK,0.6,450,500,0.2125,0.226,0.141502,0.320499,0.188002
Dinic_p_0.6_nVertices_450_maxValue_500.txt,Dinic,0.6,450,500,0.003,0.003,0.005001,0.004498,0.0025
MPM_p_0.6_nVertices_500_maxValue_10.txt,MPM,0.6,500,10,0.017001,0.0185,0.022,0.025499,0.016501
EK_p_0.6_nVertices_500_maxValue_10.txt,EK,0.6,500,10,0.281502,0.227499,0.301999,0.346501,0.158999
Dinic_p_0.6_nVertices_500_maxValue_10.txt,Dinic,0.6,500,10,0.0045,0.0065,0.007499,0.0075,0.008501
MPM_p_0.6_nVertices_500_maxValue_20.txt,MPM,0.6,500,20,0.011002,0.016,0.020001,0.0365,0.021001
EK_p_0.6_nVertices_500_maxValue_20.txt,EK,0.6,500,20,0.223,0.258499,0.2715,0.2475,0.242499
Dinic_p_0.6_nVertices_500_maxValue_20.txt,Dinic,0.6,500,20,0.005,0.0045,0.0025,0.0075,0.0045
MPM_p_0.6_nVertices_500_maxValue_30.txt,MPM,0.6,500,30,0.019,0.014501,0.023501,0.0285,0.019
EK_p_0.6_nVertices_500_maxValue_30.txt,EK,0.6,500,30,0.2725,0.273001,0.2215,0.271002,0.325002
Dinic_p_0.6_nVertices_500_maxValue_30.txt,Dinic,0.6,500,30,0.006,0.005501,0.005499,0.005001,0.005002
MPM_p_0.6_nVertices_500_maxValue_50.txt,MPM,0.6,500,50,0.0185,0.032499,0.041501,0.0225,0.03
EK_p_0.6_nVertices_500_maxValue_50.txt,EK,0.6,500,50,0.2655,0.282001,0.358001,0.225,0.2515
Dinic_p_0.6_nVertices_500_maxValue_50.txt,Dinic,0.6,500,50,0.006001,0.008999,0.004499,0.007,0.005001
MPM_p_0.6_nVertices_500_maxValue_80.txt,MPM,0.6,500,80,0.0235,0.023501,0.029501,0.0275,0.026001
EK_p_0.6_nVertices_500_maxValue_80.txt,EK,0.6,500,80,0.3435,0.2015,0.2285,0.272499,0.319999
Dinic_p_0.6_nVertices_500_maxValue_80.txt,Dinic,0.6,500,80,0.004001,0.003502,0.008,0.005999,0.007
MPM_p_0.6_nVertices_500_maxValue_130.txt,MPM,0.6,500,130,0.035499,0.0305,0.014501,0.017498,0.019501
EK_p_0.6_nVertices_500_maxValue_130.txt,EK,0.6,500,130,0.369999,0.2515,0.209501,0.312,0.377001
Dinic_p_0.6_nVertices_500_maxValue_130.txt,Dinic,0.6,500,130,0.005,0.0075,0.002999,0.005501,0.0055
MPM_p_0.6_nVertices_500_maxValue_210.txt,MPM,0.6,500,210,0.022,0.033999,0.017,0.0265,0.025001
EK_p_0.6_nVertices_500_maxValue_210.txt,EK,0.6,500,210,0.318499,0.268496,0.261499,0.213002,0.3685
Dinic_p_0.6_nVertices_500_maxValue_210.txt,Dinic,0.6,500,210,0.007501,0.0055,0.005501,0.008,0.0065
MPM_p_0.6_nVertices_500_maxValue_340.txt,MPM,0.6,500,340,0.0295,0.027,0.036001,0.023,0.035499
EK_p_0.6_nVertices_500_maxValue_340.txt,EK,0.6,500,340,0.2485,0.226499,0.2895,0.2295,0.293
